BUKRS;KTOPL;SAKNR;BILKT;FISC_YEAR;FIS_PERIOD;DEBITS_PER;CREDIT_PER;PER_SALES;BALANCE;CURRENCY
MUSE;MUSE;0000113200;0000111200;2017;08; 0; 0; 0; 347901638;CLP
MUSE;MUSE;0000113201;0000111200;2017;08; 0; 0; 0; 17723348;CLP
MUSE;MUSE;0000113204;0000111200;2017;08; 0; 0; 0; 68613220;CLP
MUSE;MUSE;0000113205;0000111400;2017;08; 0; 0; 0; 3595637811;CLP
MUSE;MUSE;0000113210;0000111200;2017;08; 0; 0; 0; 268315065;CLP
MUSE;MUSE;0000113211;0000111200;2017;08; 0; 0; 0; 0;CLP
MUSE;MUSE;0000113310;0000113000;2017;08; 0; 0; 0; 0;CLP
MUSE;MUSE;0000113400;0000121100;2017;08; 0; 0; 0; 25300618256;CLP
MUSE;MUSE;0000113401;0000121100;2017;08; 0; 0; 0; 13874462663;CLP
MUSE;MUSE;0000113500;0000121100;2017;08; 0; 0; 0; 87034164042;CLP
MUSE;MUSE;0000113501;0000121100;2017;08; 0; 0; 0; 1479316381;CLP
MUSE;MUSE;0000113510;0000121100;2017;08; 0; 0; 0; 13399156266;CLP
MUSE;MUSE;0000113600;0000121100;2017;08; 0; 0; 0; 4991120575;CLP
MUSE;MUSE;0000113700;0000121100;2017;08; 0; 0; 0; 34983324796;CLP
MUSE;MUSE;0000113800;0000121100;2017;08; 0; 0; 0; 18274419533;CLP
MUSE;MUSE;0000113801;0000121100;2017;08; 0; 0; 0; 5936378;CLP
MUSE;MUSE;0000113802;0000121100;2017;08; 0; 0; 0; 499554661;CLP
MUSE;MUSE;0000113803;0000121100;2017;08; 0; 0; 0; 8938958718;CLP
MUSE;MUSE;0000113900;0000121100;2017;08; 0; 0; 0; 18588027948;CLP
MUSE;MUSE;0000113951;0000121100;2017;08; 0; 0; 0; 0;CLP
MUSE;MUSE;0000114000;0000121100;2017;08; 0; 0; 0; 1649434999;CLP
MUSE;MUSE;0000114001;0000121100;2017;08; 0; 0; 0; 5532309;CLP
MUSE;MUSE;0000114003;0000121100;2017;08; 0; 0; 0; 0;CLP
MUSE;MUSE;0000114010;0000121000;2017;08; 0; 0; 0; 13596249832;CLP
MUSE;MUSE;0000114011;0000121000;2017;08; 0; 0; 0; 1651479337;CLP
MUSE;MUSE;0000114012;0000121100;2017;08; 0; 0; 0; 0;CLP
MUSE;MUSE;0000114013;0000111400;2017;08; 0; 0; 0; 0;CLP
MUSE;MUSE;0000114100;0000121100;2017;08; 0; 0; 0; -19276692481;CLP
MUSE;MUSE;0000114101;0000121100;2017;08; 0; 0; 0; -525589388;CLP
MUSE;MUSE;0000114102;0000121100;2017;08; 0; 0; 0; -11711781324;CLP
MUSE;MUSE;0000114103;0000121100;2017;08; 0; 0; 0; -15718705710;CLP
MUSE;MUSE;0000114104;0000121100;2017;08; 0; 0; 0; -29313852376;CLP
MUSE;MUSE;0000114105;0000121100;2017;08; 0; 0; 0; -1248918274;CLP
MUSE;MUSE;0000114106;0000121100;2017;08; 0; 0; 0; -5936272;CLP
MUSE;MUSE;0000114107;0000121100;2017;08; 0; 0; 0; 0;CLP
MUSE;MUSE;0000114108;0000121100;2017;08; 0; 0; 0; -4616847172;CLP
MUSE;MUSE;0000114109;0000121100;2017;08; 0; 0; 0; -357909926;CLP
MUSE;MUSE;0000114110;0000121100;2017;08; 0; 0; 0; -7051346121;CLP
MUSE;MUSE;0000114112;0000121000;2017;08; 0; 0; 0; -8857248986;CLP
MUSE;MUSE;0000114202;0000110200;2017;08; 0; 0; 0; 198579810943;CLP
MUSE;MUSE;0000114212;0000120100;2017;08; 0; 0; 0; 0;CLP
MUSE;MUSE;0000114300;0000120800;2017;08; 0; 0; 0; 0;CLP
MUSE;MUSE;0000114301;0000120700;2017;08; 0; 0; 0; 27526451324;CLP
MUSE;MUSE;0000114400;0000121500;2017;08; 0; 0; 0; 5295862;CLP
MUSE;MUSE;0000114401;0000121500;2017;08; 0; 0; 0; 0;CLP
MUSE;MUSE;0000114501;0000121000;2017;08; 0; 0; 0; -45014480;CLP
MUSE;MUSE;0000114604;0000120300;2017;08; 0; 0; 0; 1109496560;CLP
MUSE;MUSE;0000114605;0000120300;2017;08; 0; 0; 0; 9089107;CLP
MUSE;MUSE;0000114606;0000120300;2017;08; 0; 0; 0; 3685461389;CLP
MUSE;MUSE;0000114607;0000120300;2017;08; 0; 0; 0; 493063791;CLP
MUSE;MUSE;0000114608;0000120300;2017;08; 0; 0; 0; 248402663;CLP
MUSE;MUSE;0000114609;0000110700;2017;08; 0; 0; 0; 522645125;CLP
MUSE;MUSE;0000114610;0000120300;2017;08; 0; 0; 0; -4565685854;CLP
MUSE;MUSE;0000114611;0000120300;2017;08; 0; 0; 0; 129668904;CLP
MUSE;MUSE;0000114620;0000110700;2017;08; 0; 0; 0; 64524042;CLP
MUSE;MUSE;0000114621;0000110700;2017;08; 0; 0; 0; 173139402;CLP
MUSE;MUSE;0000114622;0000110700;2017;08; 0; 0; 0; -763391952;CLP
MUSE;MUSE;0000114625;0000120300;2017;08; 0; 0; 0; -9458997907;CLP
MUSE;MUSE;0000114640;0000110700;2017;08; 0; 0; 0; 135380341;CLP
MUSE;MUSE;0000114641;0000110700;2017;08; 0; 0; 0; 133164594;CLP
MUSE;MUSE;0000114650;0000110700;2017;08; 0; 0; 0; 35112747;CLP
MUSE;MUSE;0000114651;0000110700;2017;08; 0; 0; 0; 114901896;CLP
MUSE;MUSE;0000114670;0000120300;2017;08; 0; 0; 0; 2101492000;CLP
MUSE;MUSE;0000114680;0000120400;2017;08; 0; 0; 0; 3768410000;CLP
MUSE;MUSE;0000114700;0000110800;2017;08; 0; 0; 0; 6479241;CLP
MUSE;MUSE;0000114701;0000121500;2017;08; 0; 0; 0; 0;CLP
MUSE;MUSE;0000114702;0000121000;2017;08; 0; 0; 0; 0;CLP
MUSE;MUSE;0000114703;0000121500;2017;08; 0; 0; 0; 548384483;CLP
MUSE;MUSE;0000114720;0000121000;2017;08; 0; 0; 0; 22830517;CLP
MUSE;MUSE;0000115090;0000110100;2017;08; 0; 0; 0; 0;CLP
MUSE;MUSE;0000115200;0000110100;2017;08; 0; 0; 0; 0;CLP
MUSE;MUSE;0000115210;0000110100;2017;08; 0; 0; 0; -113266;CLP
MUSE;MUSE;0000115220;0000110100;2017;08; 0; 0; 0; 4947202;CLP
MUSE;MUSE;0000115230;0000110100;2017;08; 0; 0; 0; 0;CLP
MUSE;MUSE;0000115250;0000110100;2017;08; 0; 0; 0; 42748949;CLP
MUSE;MUSE;0000200104;0000210200;2017;08; 0; 0; 0; -286063086;CLP
MUSE;MUSE;0000200106;0000210200;2017;08; 0; 0; 0; -1576453296;CLP
MUSE;MUSE;0000200120;0000210200;2017;08; 0; 0; 0; 164974229;CLP
MUSE;MUSE;0000200121;0000210200;2017;08; 0; 0; 0; 483189096;CLP
MUSE;MUSE;0000200122;0000210200;2017;08; 0; 0; 0; 587814232;CLP
MUSE;MUSE;0000200130;0000210200;2017;08; 0; 0; 0; 0;CLP
MUSE;MUSE;0000200152;0000210200;2017;08; 0; 0; 0; -286279847;CLP
MUSE;MUSE;0000200153;0000210200;2017;08; 0; 0; 0; 0;CLP
MUSE;MUSE;0000200201;0000210600;2017;08; 0; 0; 0; -4234336163;CLP
